r,alpha,beta,x
"[0.35671389166640843, 0.1628204675347356, 0.3207249055930557, 0.24151324330150842, 0.10415487238868783]","[0.10392031854451428, 0.07987390578910307, 0.07948198479987423, 0.08878105894104346, 0.12887462731958665]","[0.4772903808777932, 0.47838996501842135, 0.39355687891698765, 0.46876552679618516, 0.39200491544304183]","[47.729038087779315, 7.987390578910307, 22.51800270724737, 8.878105894104346, 12.887462731958665]"
"[0.3144416949936114, 0.5156867598356185, 0.2743914801502204, 0.5454767484340529, 0.3621117585053943]","[0.12224883972786121, 0.13410445721520525, 0.09417642201951751, 0.06718354237865276, 0.10237348014942052]","[0.4342209020698169, 0.41061495786636537, 0.48726820940120275, 0.42395368482863943, 0.4898519514267066]","[12.224883972786122, 25.724757327456132, 9.41764220195175, 42.395368482863944, 10.237348014942052]"
"[0.38434902062565934, 0.5110978001496513, 0.21707328032890222, 0.1825249414170062, 0.21411954356957397]","[0.13313285011100506, 0.07889938062655336, 0.10223092577962634, 0.07271767459267112, 0.06872555174789863]","[0.5207728366677499, 0.4465335455727892, 0.49297142175127207, 0.5194506838466171, 0.46624845287759553]","[30.979230230701475, 44.65335455727892, 10.223092577962634, 7.271767459267112, 6.872555174789863]"
"[0.1525135393608314, 0.13420235797401076, 0.3964076967769551, 0.4806799062058568, 0.15986756011827286]","[0.06783311093333126, 0.13146303056131947, 0.12835696151319392, 0.0692386957847236, 0.12521174873926477]","[0.5258127536007318, 0.4981577327773805, 0.45222183559774254, 0.5371118906049973, 0.42782116935531067]","[6.783311093333126, 13.146303056131947, 13.83802191610873, 53.711189060499734, 12.521174873926476]"
"[0.09080978558277832, 0.057698976161442775, 0.22266122847372738, 0.46435115144300754, 0.46438506319211637]","[0.05175456431822484, 0.06639679800112581, 0.08002051077841593, 0.10792208827531549, 0.134004362147073]","[0.490013591952273, 0.35200473309195346, 0.40735723212856745, 0.5113621858463908, 0.541431931471499]","[5.175456431822484, 6.639679800112582, 8.002051077841593, 26.039619543073428, 54.1431931471499]"
"[0.08477232612673209, 0.2854429758906254, 0.16821769936030284, 0.1811456405370273, 0.5054284660197891]","[0.14549136692624576, 0.1423049001806003, 0.1203633155348754, 0.13119867328885004, 0.0755058291945962]","[0.47014628971779787, 0.47460985466973493, 0.4895563519436645, 0.46378425839568505, 0.48548475276506187]","[14.549136692624575, 14.23049001806003, 12.03633155348754, 13.119867328885004, 46.064174406942854]"
"[0.2636578668566585, 0.1882109665583559, 0.34957327116702874, 0.3671621982158856, 0.07323387750769957]","[0.12839902787052382, 0.14702738944514576, 0.14520593357859407, 0.13572302414720583, 0.1471678626288912]","[0.521640714070785, 0.4518124316134776, 0.44996197900661083, 0.379585973483923, 0.4014958545749662]","[12.839902787052381, 14.702738944514577, 19.78197465715163, 37.958597348392296, 14.71678626288912]"
"[0.36925295532322855, 0.24009897407980252, 0.1432604757254599, 0.4595142406536162, 0.3550785177166914]","[0.0990328698195195, 0.06258429072511498, 0.07901057342612336, 0.05888441257772941, 0.09268291459377186]","[0.4176196199734591, 0.4107818129778585, 0.39437238228968197, 0.4641811926328792, 0.45793624759093654]","[30.15410286221107, 6.258429072511499, 7.901057342612336, 46.41811926328792, 9.268291459377185]"
"[0.1385080261006365, 0.49160480480509483, 0.38022985907856266, 0.4019460512167432, 0.17492904836491413]","[0.05596910742527256, 0.09254282879096518, 0.07000575786698958, 0.12879527924002532, 0.10118595476572421]","[0.518760392401205, 0.531008410273496, 0.47857024038838103, 0.5008177535430608, 0.48965129512295297]","[5.596910742527256, 53.1008410273496, 7.000575786698958, 24.183076966851758, 10.118595476572422]"
"[0.06051123848664715, 0.276965215271685, 0.41387628787184066, 0.2164520919738403, 0.0627666539361207]","[0.08973135559872697, 0.07429901951266663, 0.13716176338854885, 0.09969641839357067, 0.0655354837143636]","[0.4466813817997031, 0.5473322491993863, 0.49848432140857324, 0.4148639373265134, 0.406926917382703]","[8.973135559872697, 24.65524208847654, 49.84843214085733, 9.969641839357067, 6.55354837143636]"
"[0.547848713063773, 0.4248106438158219, 0.2869922741843227, 0.34976383453138044, 0.16048509445413495]","[0.11449162893835503, 0.09927154730589466, 0.13693491679373412, 0.06930740848651869, 0.14505364171206564]","[0.5492776251377152, 0.3506408567637681, 0.4341412579512435, 0.5014020626012482, 0.41144504238996726]","[54.92776251377152, 9.942640786996634, 13.693491679373412, 6.930740848651869, 14.505364171206564]"
"[0.3154064920613662, 0.5114961386838027, 0.11994708857897525, 0.3509685121908493, 0.40797977408147695]","[0.10974575703664333, 0.08710574004210028, 0.1059566111887909, 0.06208885710627196, 0.11141131956157085]","[0.4936838858926391, 0.38003273440137403, 0.3768167326909125, 0.4266250483029952, 0.48640790348386187]","[10.974575703664332, 38.003273440137406, 10.595661118879091, 6.208885710627196, 34.21760402669198]"
"[0.1346153572263492, 0.5270049042522694, 0.10585148997957601, 0.3526345326536739, 0.3070169849214227]","[0.06808737324512566, 0.05279698543539978, 0.14380519464235486, 0.1257696372935312, 0.08344218006224055]","[0.5319610574460311, 0.5470698194793222, 0.39373698307894456, 0.4861886184359962, 0.4452379408270611]","[6.808737324512566, 54.70698194793222, 14.380519464235487, 15.759543257095673, 8.344218006224056]"
"[0.24206938588549537, 0.07698458621765165, 0.2750356673265688, 0.4789503121284066, 0.16439962248370305]","[0.14560922383702715, 0.14494146063692748, 0.055514589006495, 0.11421134090475378, 0.10271297503624763]","[0.48355529583791107, 0.5200157382822493, 0.45511297647841475, 0.5036068870775461, 0.4179357843687817]","[14.560922383702716, 14.494146063692748, 10.31294534122516, 50.360688707754605, 10.271297503624762]"
"[0.24816570851709002, 0.485581248024176, 0.16623137304755436, 0.44599054482817974, 0.12109812541453198]","[0.06296716248479375, 0.09498355579160848, 0.0627475291054629, 0.06562288671291291, 0.13745681777308044]","[0.4169430779218775, 0.3516010910840164, 0.5241330455366782, 0.37197786799225324, 0.5233005821467792]","[7.621669404518691, 35.16010910840164, 6.27475291054629, 37.19778679922533, 13.745681777308045]"
"[0.3121963441770026, 0.3505519179671116, 0.11179890991237763, 0.4005688472419886, 0.32036614160662863]","[0.11131897343154767, 0.06721793062542838, 0.06766463897145694, 0.10623385717210557, 0.08735863053129185]","[0.35212860290864945, 0.42293455955669734, 0.38698513275450597, 0.36990807057845265, 0.4074363624366073]","[11.131897343154767, 36.3749686487251, 6.7664638971456945, 36.99080705784527, 8.735863053129185]"
"[0.31899151611269694, 0.48357137464274125, 0.3154514980886338, 0.39955255842668624, 0.26794204638123914]","[0.05517708715599641, 0.11420447614865516, 0.07992295150160653, 0.10145204986402934, 0.09965152727212295]","[0.417674556389124, 0.4953922169877637, 0.4016231725552748, 0.4629122611944556, 0.5043275878373168]","[5.517708715599641, 49.53922169877637, 7.992295150160652, 26.985621708251042, 9.965152727212296]"
"[0.3316429574654995, 0.4555213664518901, 0.48219021651192095, 0.26790385882569345, 0.2547748424219583]","[0.06372518714801963, 0.1407299108222834, 0.1427237243957628, 0.07279449615149436, 0.07069526803096039]","[0.3808183098719396, 0.35740215010479526, 0.3880866304047552, 0.43195384412125915, 0.41425388695175086]","[11.102145530799483, 35.740215010479524, 38.80866304047552, 7.279449615149436, 7.069526803096039]"
"[0.0505452613209086, 0.42579868941312177, 0.3159215389465975, 0.50685457364797, 0.4825821815116744]","[0.08694342872339597, 0.11890844061138212, 0.08545663830573057, 0.1379857065077758, 0.06879365900636213]","[0.46551139401318126, 0.3678775755153142, 0.4068807322385996, 0.35551223376827334, 0.3709369904969063]","[8.694342872339597, 11.890844061138212, 8.545663830573057, 35.55122337682734, 35.317925859121786]"
"[0.35793883868598464, 0.07303929096353136, 0.38851659298533725, 0.48873842889743835, 0.398471647222837]","[0.14269301216593216, 0.05273154892367604, 0.11972640453761664, 0.06579545417119628, 0.08362694263391815]","[0.42559761334959, 0.3930035893786223, 0.38263246916877813, 0.48315135464215136, 0.5202861517798893]","[14.269301216593217, 5.273154892367604, 11.972640453761665, 48.31513546421514, 20.16976797306237]"
"[0.10574277749707074, 0.06179579768640754, 0.34584205288830033, 0.09348700478905371, 0.26782333488152177]","[0.07321252574717671, 0.11253323551091135, 0.08810368763930759, 0.08584646628043487, 0.07240432086280343]","[0.42487254102941446, 0.5222479213578217, 0.5155453091262575, 0.4484451136329707, 0.5205952901413906]","[7.321252574717671, 11.253323551091135, 51.55453091262575, 8.584646628043487, 21.286246333521945]"
"[0.26895801421649757, 0.17172356703384495, 0.40575160609622746, 0.24836872739138705, 0.08014705823970876]","[0.13738516362357533, 0.11202084081876601, 0.09050045888805099, 0.08559792986774722, 0.10835149730973397]","[0.5233455652975652, 0.5173548625851032, 0.468523957966948, 0.547216744120244, 0.43143818810716233]","[22.550577403680478, 11.2020840818766, 46.8523957966948, 8.559792986774722, 10.835149730973397]"
"[0.10126520406121094, 0.3716971855751129, 0.35476482737553455, 0.2507256469828942, 0.05769214544602953]","[0.07145404060026142, 0.06921269867880832, 0.08690246574211746, 0.10330401137043421, 0.09529036104449895]","[0.5401525508394639, 0.3584573887529817, 0.4000203976937182, 0.4840257309862586, 0.4995035444356193]","[7.145404060026142, 35.845738875298174, 37.14941982318237, 10.33040113704342, 9.529036104449895]"
"[0.07776472722610496, 0.4972754601858616, 0.12310819368926902, 0.4594129641050725, 0.4763308420844207]","[0.07892126878918533, 0.12906616411459457, 0.11986687328116545, 0.10229035451740986, 0.08529220254828944]","[0.46010757360870314, 0.47853312856835073, 0.46691140973640816, 0.460323533093503, 0.38278658598892235]","[7.892126878918533, 47.853312856835075, 11.986687328116545, 10.229035451740987, 22.03883748438886]"
"[0.4110823344011607, 0.24966308775856455, 0.19065075695118733, 0.3033957557368099, 0.20918828255284744]","[0.09923440390949265, 0.06949314074846812, 0.11432460425689206, 0.11747768239486042, 0.052906014617465795]","[0.5376606066493568, 0.44203193461657286, 0.48755377967547364, 0.495001849070288, 0.35383332953674707]","[53.76606066493568, 6.949314074846812, 11.432460425689206, 22.561563372781723, 5.290601461746579]"
"[0.4686730932008348, 0.16112117009130367, 0.14378896143202557, 0.18715557926433024, 0.07519353892030801]","[0.05596960268994403, 0.08130519058322803, 0.13101753296492236, 0.14313402537633244, 0.13391419759960482]","[0.4461625755274238, 0.44893258094989574, 0.4482737016573276, 0.4423439210306963, 0.5201715799026166]","[44.616257552742375, 8.130519058322804, 13.101753296492236, 20.760050332482102, 13.391419759960483]"
"[0.45955750143171165, 0.16940186158536258, 0.4647276598826361, 0.17903897253700113, 0.06865743924834473]","[0.10659593502223588, 0.10208320122742602, 0.12871177060969047, 0.14831105383025872, 0.10022043533630354]","[0.37750952237241114, 0.47485314415633395, 0.48827040988697124, 0.3608764799421241, 0.5035672539050888]","[16.111489971904053, 10.208320122742602, 48.82704098869712, 14.831105383025871, 10.022043533630354]"
"[0.5017217198862727, 0.050024557564793196, 0.2794133021500924, 0.42229617805157826, 0.34337305730451556]","[0.06240463152155701, 0.08782761259745518, 0.0885713486954554, 0.10120848099920804, 0.11538804958937902]","[0.4374054239399973, 0.49523101637470307, 0.5361140419409707, 0.3550749320999915, 0.4487512082094721]","[43.74054239399973, 8.782761259745518, 8.85713486954554, 27.080756517771306, 11.538804958937902]"
"[0.050481929874755596, 0.12405698000927724, 0.3539790243403492, 0.4169249077636406, 0.2403263618459482]","[0.14566784564315904, 0.07998430482450494, 0.08640628994956762, 0.10326389935898153, 0.06274806689914145]","[0.3978335724185613, 0.40376603550899115, 0.36485873703375604, 0.3853727481488329, 0.433118106662652]","[14.566784564315904, 7.998430482450495, 32.622703448436155, 38.53727481488329, 6.274806689914144]"
"[0.42553109358242275, 0.1290607711710841, 0.2766664504049743, 0.419516234069042, 0.4637226271867143]","[0.11707194427766525, 0.10921585454797622, 0.13042726059440646, 0.13040281168385254, 0.112138795175034]","[0.5317106047548905, 0.4135862166456419, 0.5452160670269958, 0.5231305181504274, 0.3878883730446547]","[24.20657001291101, 10.921585454797622, 13.042726059440646, 13.040281168385254, 38.78883730446547]"
"[0.08211887325815843, 0.14590704189866777, 0.07956188748128702, 0.5311746191098318, 0.4529368875152761]","[0.11438742965943599, 0.0566902893675148, 0.10400816456532519, 0.11604432181445228, 0.10315217904876817]","[0.45271824641279534, 0.3811990460607512, 0.39846315807237354, 0.3964952222966764, 0.43141773849111203]","[11.438742965943598, 5.66902893675148, 10.40081645653252, 39.64952222966764, 32.84188941110476]"
"[0.32805680185158714, 0.214986078130389, 0.44074626766851727, 0.3467957046201067, 0.5023796421460082]","[0.14465478607944354, 0.05748153888810908, 0.08561420536844641, 0.1472398379353591, 0.08091761708832398]","[0.424947929525245, 0.4735432712690416, 0.5124789968538761, 0.4890243370063613, 0.42567192725988334]","[14.465478607944354, 5.748153888810908, 22.4951909837205, 14.723983793535911, 42.567192725988335]"
"[0.2542541058366366, 0.5116623021804901, 0.4301506265538479, 0.4984665837004601, 0.25052996867313726]","[0.1333422555403167, 0.10230666435018113, 0.09433956258987722, 0.14908524973490894, 0.060417306866107]","[0.47292967892945836, 0.41210764244781295, 0.4901869033486412, 0.4385616382448904, 0.4502551561695003]","[13.33422555403167, 41.210764244781295, 9.433956258987722, 29.97932325558861, 6.0417306866107]"
"[0.510199123404004, 0.5183936755619866, 0.12424413818058412, 0.4773858065044974, 0.28401394167221167]","[0.10036866277611531, 0.10681539570401752, 0.13834920035200993, 0.09465572749721243, 0.08503294524092012]","[0.4096917708789707, 0.49530990867496993, 0.3550817017634782, 0.5012479371615255, 0.35568806452270163]","[18.66522182348875, 49.530990867496996, 13.834920035200993, 9.465572749721243, 8.503294524092011]"
"[0.368803043394096, 0.15258977316859762, 0.22291479708483342, 0.20148334745066443, 0.2684438504651429]","[0.08266789608545756, 0.1208093320103963, 0.10823740288241512, 0.05793641614426914, 0.11403295257899214]","[0.389280998796709, 0.45547412598204384, 0.5083576107577918, 0.5385966797587922, 0.5401060922314775]","[38.9280998796709, 12.08093320103963, 10.823740288241513, 5.793641614426914, 32.373585016621035]"
"[0.35167218871388495, 0.14339662897349198, 0.12638530648967572, 0.5447943970358379, 0.3245798506351502]","[0.13853787970408465, 0.11808108879667842, 0.052431406581266396, 0.053200280164996894, 0.0515002158422045]","[0.3538722479008535, 0.4409901764182833, 0.5216854958439245, 0.4283122352774893, 0.35246004675924625]","[34.96750535023613, 11.808108879667842, 5.24314065812664, 42.83122352774893, 5.15002158422045]"
"[0.40898373895839096, 0.318366683563329, 0.282711189879666, 0.23646787012192422, 0.4237873570308283]","[0.10502561915396379, 0.14206971645100913, 0.052448285941413875, 0.1425424049970407, 0.06693214940990497]","[0.3865953873246928, 0.520386663517953, 0.47013970661841054, 0.36322469489050374, 0.48405094260072046]","[17.888865000981582, 14.206971645100912, 5.244828594141388, 14.254240499704071, 48.40509426007205]"
"[0.3997310870123686, 0.09736671478540522, 0.4616555902881416, 0.3659158719878652, 0.24876821691631795]","[0.1480052730702638, 0.09359258186801697, 0.13158811019720207, 0.086983082624475, 0.07710808691420987]","[0.3901507450530387, 0.4934334908080161, 0.4272457943764354, 0.5226844927691748, 0.502207647545509]","[31.50704542168627, 9.359258186801696, 42.72457943764354, 8.698308262447501, 7.710808691420986]"
"[0.17026094988260138, 0.406185491285274, 0.38434322216249034, 0.2378648087350586, 0.5312857706121852]","[0.08390114189412264, 0.08936101262296768, 0.0849781303980489, 0.05085421449287421, 0.09279232307923224]","[0.548665278702529, 0.43798244952810295, 0.4608264322502501, 0.49056572881965266, 0.5463420645568939]","[8.390114189412264, 23.392444865806038, 8.497813039804889, 5.085421449287421, 54.634206455689394]"
